countyfips,periods,final_consumer_spending,average_consumer_spending,sd_consumer_spending,positive_consumer_spending,negative_consumer_spending,max_increase_consumer_spending,max_decrease_consumer_spending
48221,231,0.245,0.09606958874458875,0.135222223072051,187,44,0.442,-0.394
48225,231,0.117,0.06835517316017316,0.14390556253023645,161,70,0.516,-0.469
48231,231,0.273,0.1053687445887446,0.15938589734046668,170,61,0.454,-0.432
48233,231,-0.0319,0.05718025974025974,0.17915654100333617,146,85,0.525,-0.585
48239,231,0.385,0.2240447619047619,0.15055953733182598,211,20,0.541,-0.259
48241,231,0.174,0.08294891774891774,0.08201735468602486,196,35,0.232,-0.298
48245,231,0.26,0.12798645021645022,0.09060410577819301,211,20,0.357,-0.231
48249,231,0.455,0.21175064935064936,0.1655097059258564,208,23,0.736,-0.246
48251,231,-0.0034,0.056601645021645025,0.09313163988058706,181,50,0.23,-0.31
48255,231,-0.0795,0.08536808225108225,0.1723942166716263,160,71,0.736,-0.334
48257,231,0.247,0.14109359307359307,0.13940453268343128,188,43,0.424,-0.374
48259,231,0.14,0.1279098484848485,0.12159731487166435,196,35,0.409,-0.29
48265,231,0.176,0.06738321645021646,0.10544640542452334,178,53,0.29,-0.322
48273,231,0.0454,0.04569904761904762,0.1561800929611386,143,88,0.377,-0.364
48281,231,0.224,0.2122330670995671,0.16269800727901304,211,20,0.63,-0.394
48285,231,0.131,0.1425797012987013,0.13589418971378767,194,37,0.455,-0.261
48289,231,0.202,0.09573748917748917,0.09828637966906183,189,42,0.298,-0.248
48291,231,0.169,0.03884398701298701,0.10633171034261975,159,72,0.326,-0.36
48293,231,0.387,0.21161796536796537,0.11630221660648349,222,9,0.449,-0.214
48299,231,-0.0183,0.017723116883116886,0.1228924348284665,124,107,0.358,-0.361
48303,231,0.148,0.050971298701298705,0.11543209155942859,171,60,0.293,-0.355
48309,231,0.387,0.24923830303030303,0.16192608876084802,211,20,0.533,-0.276
48313,231,0.139,0.0835987316017316,0.12541874828744112,176,55,0.463,-0.345
48321,231,0.104,0.0976826406926407,0.1481543189158899,174,57,0.547,-0.45
48331,231,-0.122,-0.016709125541125542,0.16143158767277777,104,127,0.455,-0.477
48337,231,0.736,0.19837722943722944,0.1849543846586626,196,35,0.736,-0.311
48339,231,0.19,0.09185109956709957,0.11239504955206783,187,44,0.284,-0.341
48347,231,0.251,0.1779000432900433,0.142284403794983,201,30,0.539,-0.215
48349,231,0.368,0.29595626406926406,0.17270970888674153,217,14,0.674,-0.206
48351,231,0.0688,0.018907645021645023,0.10148375875917699,136,95,0.233,-0.252
48355,231,0.176,0.13950203463203464,0.11633477081519902,201,30,0.39,-0.274
48361,231,0.257,0.09062190476190476,0.08340057049022649,198,33,0.315,-0.23
48365,231,0.271,0.1475174025974026,0.10713018207123272,212,19,0.449,-0.164
48367,231,0.112,0.10181969696969696,0.11918183296559173,190,41,0.577,-0.315
48373,231,0.0813,0.07391175974025974,0.1074873627175876,177,54,0.402,-0.36
48375,231,-0.0144,0.010308891774891775,0.1807454614087987,123,108,0.582,-0.448
48381,231,0.158,0.05732393939393939,0.13568768984430116,163,68,0.358,-0.408
48395,231,0.34,0.20224566666666666,0.1870325190260557,200,31,0.71,-0.431
48397,231,0.165,0.07788645021645021,0.11266649301076274,185,46,0.291,-0.33
48401,231,0.182,0.18990999134199135,0.12800289225407613,200,31,0.601,-0.25
48403,231,0.108,-0.06129141125541126,0.1127352920167981,60,171,0.305,-0.334
48407,231,0.298,0.05349168831168831,0.13459410253637413,157,74,0.449,-0.38
