"GEO_ID","NAME","H8_001N",
"Geography","Geographic Area Name"," !!Total",
"0500000US13117","Forsyth County, Georgia","249973",
"0500000US13119","Franklin County, Georgia","22640",
"0500000US13121","Fulton County, Georgia","1032591",
"0500000US13123","Gilmer County, Georgia","31149",
"0500000US13125","Glascock County, Georgia","2812",
"0500000US13127","Glynn County, Georgia","82153",
"0500000US13129","Gordon County, Georgia","57053",
"0500000US13131","Grady County, Georgia","26068",
"0500000US13133","Greene County, Georgia","18820",
"0500000US13135","Gwinnett County, Georgia","950947",
"0500000US13137","Habersham County, Georgia","43147",
"0500000US13139","Hall County, Georgia","200520",
"0500000US13141","Hancock County, Georgia","7468",
"0500000US13143","Haralson County, Georgia","29765",
"0500000US13145","Harris County, Georgia","34197",
"0500000US13147","Hart County, Georgia","25157",
"0500000US13149","Heard County, Georgia","11311",
"0500000US13151","Henry County, Georgia","240034",
"0500000US13153","Houston County, Georgia","162069",
"0500000US13155","Irwin County, Georgia","8885",
"0500000US13157","Jackson County, Georgia","75303",
"0500000US13159","Jasper County, Georgia","14505",
"0500000US13161","Jeff Davis County, Georgia","14667",
"0500000US13163","Jefferson County, Georgia","15174",
"0500000US13165","Jenkins County, Georgia","7558",
"0500000US13167","Johnson County, Georgia","7500",
"0500000US13169","Jones County, Georgia","28052",
"0500000US13171","Lamar County, Georgia","17520",
"0500000US13173","Lanier County, Georgia","9604",
"0500000US13175","Laurens County, Georgia","48647",
"0500000US13177","Lee County, Georgia","32195",
"0500000US13179","Liberty County, Georgia","62124",
"0500000US13181","Lincoln County, Georgia","7618",
"0500000US13183","Long County, Georgia","15846",
"0500000US13185","Lowndes County, Georgia","112771",
"0500000US13187","Lumpkin County, Georgia","29475",
"0500000US13189","McDuffie County, Georgia","21491",
"0500000US13191","McIntosh County, Georgia","10931",
"0500000US13193","Macon County, Georgia","10203",
"0500000US13195","Madison County, Georgia","29983",
"0500000US13197","Marion County, Georgia","7394",
"0500000US13199","Meriwether County, Georgia","20516",
"0500000US13201","Miller County, Georgia","5841",
"0500000US13205","Mitchell County, Georgia","20082",
"0500000US13207","Monroe County, Georgia","26666",
"0500000US13209","Montgomery County, Georgia","7912",
"0500000US13211","Morgan County, Georgia","19922",
"0500000US13213","Murray County, Georgia","39723",
"0500000US13215","Muscogee County, Georgia","200641",
"0500000US13217","Newton County, Georgia","110956",
"0500000US13219","Oconee County, Georgia","41673",
"0500000US13221","Oglethorpe County, Georgia","14744",
"0500000US13223","Paulding County, Georgia","167971",
"0500000US13225","Peach County, Georgia","26546",
"0500000US13227","Pickens County, Georgia","32875",
"0500000US13229","Pierce County, Georgia","19594",
"0500000US13231","Pike County, Georgia","18646",
"0500000US13233","Polk County, Georgia","42479",
"0500000US13235","Pulaski County, Georgia","8556",
"0500000US13237","Putnam County, Georgia","21871",
"0500000US13239","Quitman County, Georgia","2235",
"0500000US13241","Rabun County, Georgia","16737",
"0500000US13243","Randolph County, Georgia","6203",
"0500000US13245","Richmond County, Georgia","195715",
"0500000US13247","Rockdale County, Georgia","92692",
"0500000US13249","Schley County, Georgia","4547",
"0500000US13251","Screven County, Georgia","13845",
"0500000US13253","Seminole County, Georgia","9059",
"0500000US13255","Spalding County, Georgia","66498",
"0500000US13257","Stephens County, Georgia","25942",
"0500000US13259","Stewart County, Georgia","3745",
"0500000US13261","Sumter County, Georgia","27895",
"0500000US13263","Talbot County, Georgia","5733",
"0500000US13265","Taliaferro County, Georgia","1540",
"0500000US13267","Tattnall County, Georgia","19908",
"0500000US13269","Taylor County, Georgia","7608",
"0500000US13271","Telfair County, Georgia","9451",
"0500000US13273","Terrell County, Georgia","8885",
"0500000US13275","Thomas County, Georgia","45297",
"0500000US13277","Tift County, Georgia","40414",
"0500000US13279","Toombs County, Georgia","26455",
"0500000US13281","Towns County, Georgia","11592",
"0500000US13283","Treutlen County, Georgia","5974",
"0500000US13285","Troup County, Georgia","67861",
"0500000US13287","Turner County, Georgia","8735",
"0500000US13289","Twiggs County, Georgia","7918",
"0500000US13291","Union County, Georgia","24176",
"0500000US13293","Upson County, Georgia","27364",
"0500000US13295","Walker County, Georgia","66400",
"0500000US13297","Walton County, Georgia","95894",
"0500000US13299","Ware County, Georgia","33970",
"0500000US13301","Warren County, Georgia","5137",
"0500000US13303","Washington County, Georgia","18259",
"0500000US13305","Wayne County, Georgia","28245",
"0500000US13307","Webster County, Georgia","2348",
"0500000US13309","Wheeler County, Georgia","5045",
"0500000US13311","White County, Georgia","27283",
